app_name,category,developer,rating,downloads,monthly_price,yearly_price,currency,free_trial_days,pricing_type,pricing_source,pricing_date,pricing_status
Spotify,Music,Spotify AB,4.1534467,1000000000.0,139.0,1390.0,INR,,Subscription,Official website,2026-08-11,Verified
Apple Music,Music,Apple,4.153107,100000000.0,139.0,,INR,,Subscription,Official website,2026-08-11,Verified
YouTube Music,Music,Google LLC,4.14588,5000000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly available
Amazon Music,Music,Amazon Mobile LLC,3.951367,100000000.0,119.0,,INR,,Subscription,Official website,2026-08-11,Verified
JioSaavn,Music,Saavn Media Limited,4.4382777,500000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly available
Gaana,Music,Entertainment Network (India) Ltd.,3.9576561,100000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly available
Netflix,Streaming,"Netflix, Inc.",3.9847584,1000000000.0,499.0,,INR,,Subscription,Official website,2026-08-11,Verified
Amazon Prime Video,Streaming,Amazon Mobile LLC,3.9926503,500000000.0,299.0,1499.0,INR,,Subscription,Official website,2026-08-11,Verified
Disney+,Streaming,JIOSTAR INDIA PRIVATE LIMITED,4.328112,1000000000.0,,,,,Subscription,Official website,2026-08-11,Not applicable
JioHotstar,Streaming,JIOSTAR INDIA PRIVATE LIMITED,4.3281093,1000000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly available
SonyLIV,Streaming,Sony Pictures Networks India Private Limited,3.558837,100000000.0,399.0,1499.0,INR,,Subscription,Official website,2026-08-11,Verified
ZEE5,Streaming,Z5X Global FZ LLC,4.425504,100000000.0,399.0,1699.0,INR,,Subscription,Official website,2026-08-11,Verified
Coursera,Education,"Coursera, Inc.",4.460456,10000000.0,,,,7.0,Subscription,Official website,2026-08-11,Verified
Udemy,Education,Udemy,4.4706283,10000000.0,,,,,Mixed,Official website,2026-08-11,Verified
Duolingo,Education,Duolingo,4.5876904,500000000.0,,,,,Freemium,Official website,2026-08-11,Not publicly available
Khan Academy,Education,Khan Academy,4.4075146,10000000.0,0.0,0.0,INR,0.0,Free,Official website,2026-08-11,Verified
Unacademy,Education,Unacademy,4.1199946,100000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly comparable
BYJU'S,Education,Toppr,4.0564227,100000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly available
Notion,Productivity,"Notion Labs, Inc.",4.596298,10000000.0,,,,,Freemium,Official website,2026-08-11,Verified
Evernote,Productivity,Evernote by Bending Spoons,3.5770147,100000000.0,,,,,Freemium,Official website,2026-08-11,Not publicly available
Todoist,Productivity,Doist Inc.,4.603322,10000000.0,7.0,60.0,USD,7.0,Freemium,Official website,2026-08-15,Verified
