app_name,category,developer,rating,downloads
Spotify,Music,Spotify AB,4.1534467,"1,000,000,000+"
Apple Music,Music,Apple,4.153107,"100,000,000+"
YouTube Music,Music,Google LLC,4.14588,"5,000,000,000+"
Amazon Music,Music,Amazon Mobile LLC,3.951367,"100,000,000+"
JioSaavn,Music,Saavn Media Limited,4.4382777,"500,000,000+"
Gaana,Music,Entertainment Network (India) Ltd.,3.9576561,"100,000,000+"
Netflix,Streaming,"Netflix, Inc.",3.9847584,"1,000,000,000+"
Amazon Prime Video,Streaming,Amazon Mobile LLC,3.9926503,"500,000,000+"
Disney+,Streaming,JIOSTAR INDIA PRIVATE LIMITED,4.328112,"1,000,000,000+"
JioHotstar,Streaming,JIOSTAR INDIA PRIVATE LIMITED,4.3281093,"1,000,000,000+"
SonyLIV,Streaming,Sony Pictures Networks India Private Limited,3.558837,"100,000,000+"
ZEE5,Streaming,Z5X Global FZ LLC,4.425504,"100,000,000+"
Coursera,Education,"Coursera, Inc.",4.460456,"10,000,000+"
Udemy,Education,Udemy,4.4706283,"10,000,000+"
Duolingo,Education,Duolingo,4.5876904,"500,000,000+"
Khan Academy,Education,Khan Academy,4.4075146,"10,000,000+"
Unacademy,Education,Unacademy,4.1199946,"100,000,000+"
BYJU'S,Education,Toppr,4.0564227,"100,000,000+"
Notion,Productivity,"Notion Labs, Inc.",4.596298,"10,000,000+"
Evernote,Productivity,Evernote by Bending Spoons,3.5770147,"100,000,000+"
Todoist,Productivity,Doist Inc.,4.603322,"10,000,000+"
Microsoft 365,Productivity,Microsoft Corporation,4.396221,"1,000,000,000+"
Google Workspace,Productivity,Google LLC,4.6256948,"1,000,000,000+"
TickTick,Productivity,TickTick Limited,4.604452,"10,000,000+"
Google One,Cloud Storage,Google LLC,4.0278635,"1,000,000,000+"
Dropbox,Cloud Storage,"Dropbox, Inc.",4.450789,"1,000,000,000+"
Microsoft OneDrive,Cloud Storage,Microsoft Corporation,4.4098153,"5,000,000,000+"
iCloud+,Cloud Storage,,,
MEGA,Cloud Storage,Mega Ltd,4.4094586,"100,000,000+"
Box,Cloud Storage,Box,4.4517612,"10,000,000+"
ChatGPT,AI Tools,OpenAI,4.4883943,"1,000,000,000+"
Claude,AI Tools,Anthropic PBC,4.4997973,"50,000,000+"
Google Gemini,AI Tools,Google LLC,4.43132,"1,000,000,000+"
Perplexity AI,AI Tools,PerplexityAI,4.087414,"100,000,000+"
Grammarly,AI Tools,"Grammarly, Inc.",4.3933153,"50,000,000+"
GitHub Copilot,AI Tools,GitHub,4.647161,"10,000,000+"
Cult.fit,Health & Fitness,Curefit Healthcare Pvt. Ltd.,4.6329517,"10,000,000+"
MyFitnessPal,Health & Fitness,"MyFitnessPal, Inc.",4.5307164,"100,000,000+"
Strava,Health & Fitness,Strava Inc.,4.6497045,"100,000,000+"
Fitbit Premium,Health & Fitness,Google LLC,4.1706586,"100,000,000+"
Nike Run Club,Health & Fitness,"Nike, Inc.",4.551692,"50,000,000+"
Cure.fit,Health & Fitness,Curefit Healthcare Pvt. Ltd.,4.6329517,"10,000,000+"
Groww,Finance,"Groww: Demat, Invest & Trade, Gold, Silver, Loans",4.7665563,"100,000,000+"
Zerodha Kite,Finance,Zerodha,4.4257874,"10,000,000+"
INDmoney,Finance,"INDmoney: Indian & US Stocks, SIP, Flash Trading",4.5615473,"10,000,000+"
TradingView,Finance,TradingView Inc.,4.73556,"50,000,000+"
Moneycontrol Pro,Finance,Network18,3.4960465,"10,000,000+"
ET Money,Finance,"ET Money: AMFI, SEBI Registered Investment Advisor",4.4166026,"10,000,000+"
Amazon Shopping,Shopping,Amazon Mobile LLC,4.195391,"500,000,000+"
Flipkart,Shopping,Flipkart,4.3386464,"500,000,000+"
Myntra,Shopping,Myntra,4.5952706,"100,000,000+"
Meesho,Shopping,Meesho,4.402681,"500,000,000+"
Ajio,Shopping,Reliance Retail Ltd,4.4235506,"100,000,000+"
Nykaa,Shopping,NYKAA,4.536374,"50,000,000+"
WhatsApp Business,Communication,WhatsApp LLC,4.4786663,"1,000,000,000+"
Telegram Premium,Communication,Telegram FZ-LLC,4.120265,"1,000,000,000+"
Discord Nitro,Communication,Discord Inc.,4.4666295,"500,000,000+"
Slack,Communication,SLACK TECHNOLOGIES L.L.C.,4.763594,"10,000,000+"
Zoom,Communication,zoom.com,4.137752,"1,000,000,000+"
Microsoft Teams,Communication,Microsoft Corporation,4.6212106,"500,000,000+"
Airbnb,Travel,Airbnb,4.336916,"100,000,000+"
Booking.com,Travel,Booking.com Hotels & Vacation Rentals,4.66384,"500,000,000+"
MakeMyTrip,Travel,"MakeMyTrip: Flight, Hotel, Bus, IRCTC Train Ticket",4.4757233,"100,000,000+"
ixigo,Travel,"ixigo - IRCTC Authorised Partner, Flight Tickets",4.7519293,"10,000,000+"
Goibibo,Travel,"Goibibo — Hotel, Flight, IRCTC Authorised Partner",4.5470815,"50,000,000+"
Agoda,Travel,agoda.com,4.1653438,"100,000,000+"
Canva,Design,Canva,4.5553784,"500,000,000+"
Adobe Express,Design,Adobe,4.437608,"100,000,000+"
Figma,Design,Figma Inc.,4.378158,"5,000,000+"
Picsart,Design,"PicsArt, Inc.",4.213304,"1,000,000,000+"
VistaCreate,Design,Crello Ltd.,4.3915095,"5,000,000+"
Sketch,Design,Sketchbook,3.9529667,"100,000,000+"
Adobe Lightroom,Photo & Video,Adobe,4.3462386,"100,000,000+"
CapCut,Photo & Video,BIRVA TEPI NOTE,,0+
